Date,Price
"Dec 17, 2018",71.59
"Dec 16, 2018",71.92
"Dec 14, 2018",71.92
"Dec 13, 2018",71.53
"Dec 12, 2018",71.84
"Dec 11, 2018",72.29
"Dec 10, 2018",72.52
"Dec 09, 2018",71.375
"Dec 07, 2018",70.86
"Dec 06, 2018",70.85
"Dec 05, 2018",70.56
"Dec 04, 2018",70.53
"Dec 03, 2018",70.44
"Dec 02, 2018",69.77
"Nov 30, 2018",69.65
"Nov 29, 2018",69.78
"Nov 28, 2018",70.64
"Nov 27, 2018",70.785
"Nov 26, 2018",70.82
"Nov 25, 2018",70.675
"Nov 23, 2018",70.655
"Nov 22, 2018",70.69
"Nov 21, 2018",71.305
"Nov 20, 2018",71.43
"Nov 19, 2018",71.61
"Nov 18, 2018",71.785
"Nov 16, 2018",71.98
"Nov 15, 2018",71.915
"Nov 14, 2018",72.31
"Nov 13, 2018",72.615
"Nov 12, 2018",72.86
"Nov 11, 2018",72.48
"Nov 09, 2018",72.48
"Nov 08, 2018",72.38
"Nov 07, 2018",72.45
"Nov 06, 2018",72.955
"Nov 05, 2018",73.08
"Nov 04, 2018",72.915
"Nov 02, 2018",72.44
"Nov 01, 2018",73.455
"Oct 31, 2018",73.96
"Oct 30, 2018",73.68
"Oct 29, 2018",73.4
"Oct 28, 2018",73.461
"Oct 26, 2018",73.46
"Oct 25, 2018",73.23
"Oct 24, 2018",73.23
"Oct 23, 2018",73.55
"Oct 22, 2018",73.56
"Oct 21, 2018",73.475
"Oct 19, 2018",73.375
"Oct 18, 2018",73.53
"Oct 17, 2018",73.6
"Oct 16, 2018",73.465
"Oct 15, 2018",73.77
"Oct 14, 2018",73.686
"Oct 12, 2018",73.61
"Oct 11, 2018",74.05
"Oct 10, 2018",74.25
"Oct 09, 2018",74.34
"Oct 08, 2018",74.065
"Oct 07, 2018",73.771
"Oct 05, 2018",73.77
"Oct 04, 2018",73.63
"Oct 03, 2018",73.345
"Oct 02, 2018",72.925
"Oct 01, 2018",72.925
"Sep 30, 2018",72.515
"Sep 28, 2018",72.51
"Sep 27, 2018",72.57
"Sep 26, 2018",72.6
"Sep 25, 2018",72.685
"Sep 24, 2018",72.67
"Sep 23, 2018",72.24
"Sep 21, 2018",72.24
"Sep 20, 2018",72.015
"Sep 19, 2018",72.36
"Sep 18, 2018",72.71
"Sep 17, 2018",72.54
"Sep 16, 2018",72.105
"Sep 14, 2018",71.88
"Sep 13, 2018",72.037
"Sep 12, 2018",72.16
"Sep 11, 2018",72.64
"Sep 10, 2018",72.455
"Sep 09, 2018",72.105
"Sep 07, 2018",71.79
"Sep 06, 2018",71.95
"Sep 05, 2018",71.755
"Sep 04, 2018",71.585
"Sep 03, 2018",71.215
"Sep 02, 2018",71.005
"Aug 31, 2018",71.005
"Aug 30, 2018",70.745
"Aug 29, 2018",70.535
"Aug 28, 2018",70.1
"Aug 27, 2018",70.165
"Aug 26, 2018",69.775
"Aug 24, 2018",69.97
"Aug 23, 2018",70.105
"Aug 22, 2018",69.87
"Aug 21, 2018",69.86
"Aug 20, 2018",69.82
"Aug 19, 2018",69.795
"Aug 17, 2018",70.1
"Aug 16, 2018",70.09
"Aug 15, 2018",69.92
"Aug 14, 2018",69.96
"Aug 13, 2018",70.02
"Aug 12, 2018",69.095
"Aug 10, 2018",68.89
"Aug 09, 2018",68.76
"Aug 08, 2018",68.66
"Aug 07, 2018",68.63
"Aug 06, 2018",68.83
"Aug 05, 2018",68.515
"Aug 03, 2018",68.545
"Aug 02, 2018",68.625
"Aug 01, 2018",68.35
"Jul 31, 2018",68.46
"Jul 30, 2018",68.605
"Jul 29, 2018",68.625
"Jul 27, 2018",68.605
"Jul 26, 2018",68.66
"Jul 25, 2018",68.73
"Jul 24, 2018",68.948
"Jul 23, 2018",68.845
"Jul 22, 2018",68.743
"Jul 20, 2018",68.74
"Jul 19, 2018",69.02
"Jul 18, 2018",68.625
"Jul 17, 2018",68.43
"Jul 16, 2018",68.55
"Jul 15, 2018",68.497
"Jul 13, 2018",68.5
"Jul 12, 2018",68.52
"Jul 11, 2018",68.73
"Jul 10, 2018",68.755
"Jul 09, 2018",68.66
"Jul 08, 2018",68.765
"Jul 06, 2018",68.805
"Jul 05, 2018",68.88
"Jul 04, 2018",68.69
"Jul 03, 2018",68.55
"Jul 02, 2018",68.72
"Jul 01, 2018",68.445
"Jun 29, 2018",68.46
"Jun 28, 2018",68.84
"Jun 27, 2018",68.64
"Jun 26, 2018",68.37
"Jun 25, 2018",68.115
"Jun 24, 2018",67.865
"Jun 22, 2018",67.87
"Jun 21, 2018",67.945
"Jun 20, 2018",68.06
"Jun 19, 2018",68.31
"Jun 18, 2018",68.04
"Jun 17, 2018",68.06
"Jun 15, 2018",68.06
"Jun 14, 2018",67.69
"Jun 13, 2018",67.645
"Jun 12, 2018",67.48
"Jun 11, 2018",67.47
"Jun 10, 2018",67.52
"Jun 08, 2018",67.53
"Jun 07, 2018",67.42
"Jun 06, 2018",66.84
"Jun 05, 2018",67.1
"Jun 04, 2018",67.07
"Jun 03, 2018",66.935
"Jun 01, 2018",66.995
"May 31, 2018",67.43
"May 30, 2018",67.44
"May 29, 2018",67.84
"May 28, 2018",67.4
"May 27, 2018",67.732
"May 25, 2018",67.73
"May 24, 2018",68.34
"May 23, 2018",68.37
"May 22, 2018",68.02
"May 21, 2018",68.115
"May 18, 2018",67.99
"May 17, 2018",67.765
"May 16, 2018",67.775
"May 15, 2018",68.08
"May 14, 2018",67.56
"May 11, 2018",67.36
"May 10, 2018",67.245
"May 09, 2018",67.35
"May 08, 2018",67.13
"May 07, 2018",67.14
"May 04, 2018",66.82
"May 03, 2018",66.67
"May 02, 2018",66.69
"May 01, 2018",66.8
"Apr 30, 2018",66.46
"Apr 27, 2018",66.62
"Apr 26, 2018",66.805
"Apr 25, 2018",66.92
"Apr 24, 2018",66.41
"Apr 23, 2018",66.53
"Apr 20, 2018",66.21
"Apr 19, 2018",65.87
"Apr 18, 2018",65.72
"Apr 17, 2018",65.68
"Apr 16, 2018",65.47
"Apr 13, 2018",65.255
"Apr 12, 2018",65.29
"Apr 11, 2018",65.26
"Apr 10, 2018",64.95
"Apr 09, 2018",64.955
"Apr 06, 2018",64.93
"Apr 05, 2018",64.89
"Apr 04, 2018",65.045
"Apr 03, 2018",65
"Apr 02, 2018",65.13
"Mar 30, 2018",65.115
"Mar 29, 2018",65.115
"Mar 28, 2018",65.16
"Mar 27, 2018",64.945
"Mar 26, 2018",64.825
"Mar 23, 2018",64.99
"Mar 22, 2018",65.105
"Mar 21, 2018",65.18
"Mar 20, 2018",65.21
"Mar 19, 2018",65.22
"Mar 16, 2018",64.99
"Mar 15, 2018",64.99
"Mar 14, 2018",64.84
"Mar 13, 2018",64.855
"Mar 12, 2018",64.985
"Mar 09, 2018",65.125
"Mar 08, 2018",65.105
"Mar 07, 2018",64.88
"Mar 06, 2018",64.905
"Mar 05, 2018",65.025
"Mar 02, 2018",65.22
"Mar 01, 2018",65.23
"Feb 28, 2018",65.21
"Feb 27, 2018",64.92
"Feb 26, 2018",64.77
"Feb 23, 2018",64.71
"Feb 22, 2018",64.975
"Feb 21, 2018",64.805
"Feb 20, 2018",64.86
"Feb 19, 2018",64.25
"Feb 16, 2018",64.215
"Feb 15, 2018",63.9
"Feb 14, 2018",64.1
"Feb 13, 2018",64.265
"Feb 12, 2018",64.28
"Feb 09, 2018",64.375
"Feb 08, 2018",64.3
"Feb 07, 2018",64.28
"Feb 06, 2018",64.23
"Feb 05, 2018",64.14
"Feb 02, 2018",64.13
"Feb 01, 2018",63.98
"Jan 31, 2018",63.55
"Jan 30, 2018",63.69
"Jan 29, 2018",63.6
"Jan 26, 2018",63.59
"Jan 25, 2018",63.515
"Jan 24, 2018",63.66
"Jan 23, 2018",63.76
"Jan 22, 2018",63.89
"Jan 19, 2018",63.83
"Jan 18, 2018",63.87
"Jan 17, 2018",63.885
"Jan 16, 2018",64.02
"Jan 15, 2018",63.515
"Jan 12, 2018",63.61
"Jan 11, 2018",63.69
"Jan 10, 2018",63.63
"Jan 09, 2018",63.67
"Jan 08, 2018",63.475
"Jan 05, 2018",63.34
"Jan 04, 2018",63.4
"Jan 03, 2018",63.505
"Jan 02, 2018",63.46
"Jan 01, 2018",63.68
"Dec 29, 2017",63.84
"Dec 28, 2017",64.08
"Dec 27, 2017",64.12
"Dec 26, 2017",64.05
"Dec 25, 2017",64.02
"Dec 22, 2017",64.02
"Dec 21, 2017",64.02
"Dec 20, 2017",64.115
"Dec 19, 2017",64.06
"Dec 18, 2017",64.21
"Dec 15, 2017",64.08
"Dec 14, 2017",64.34
"Dec 13, 2017",64.46
"Dec 12, 2017",64.41
"Dec 11, 2017",64.355
"Dec 08, 2017",64.48
"Dec 07, 2017",64.57
"Dec 06, 2017",64.53
"Dec 05, 2017",64.36
"Dec 04, 2017",64.38
"Dec 01, 2017",64.52
"Nov 30, 2017",64.49
"Nov 29, 2017",64.36
"Nov 28, 2017",64.41
"Nov 27, 2017",64.477
"Nov 24, 2017",64.68
"Nov 23, 2017",64.57
"Nov 22, 2017",64.88
"Nov 21, 2017",64.88
"Nov 20, 2017",65.1
"Nov 17, 2017",65.015
"Nov 16, 2017",65.295
"Nov 15, 2017",65.27
"Nov 14, 2017",65.41
"Nov 13, 2017",65.44
"Nov 10, 2017",65.19
"Nov 09, 2017",64.975
"Nov 08, 2017",64.92
"Nov 07, 2017",65.06
"Nov 06, 2017",64.625
"Nov 03, 2017",64.56
"Nov 02, 2017",64.575
"Nov 01, 2017",64.565
"Oct 31, 2017",64.75
"Oct 30, 2017",64.86
"Oct 27, 2017",65.04
"Oct 26, 2017",64.84
"Oct 25, 2017",64.925
"Oct 24, 2017",65.09
"Oct 23, 2017",65.023
"Oct 20, 2017",65.04
"Oct 19, 2017",64.995
"Oct 18, 2017",65.055
"Oct 17, 2017",65.03
"Oct 16, 2017",64.7
"Oct 13, 2017",64.7
"Oct 12, 2017",65.06
"Oct 11, 2017",65.16
"Oct 10, 2017",65.25
"Oct 09, 2017",65.355
"Oct 06, 2017",65.4
"Oct 05, 2017",65.145
"Oct 04, 2017",65.03
"Oct 03, 2017",65.485
"Oct 02, 2017",65.31
"Sep 29, 2017",65.31
"Sep 28, 2017",65.47
"Sep 27, 2017",65.715
"Sep 26, 2017",65.46
"Sep 25, 2017",65.127
"Sep 22, 2017",64.795
"Sep 21, 2017",64.81
"Sep 20, 2017",64.293
"Sep 19, 2017",64.3
"Sep 18, 2017",64.158
"Sep 15, 2017",64.11
"Sep 14, 2017",64.123
"Sep 13, 2017",64.01
"Sep 12, 2017",64.031
"Sep 11, 2017",63.935
"Sep 08, 2017",63.785
"Sep 07, 2017",64.015
"Sep 06, 2017",64.06
"Sep 05, 2017",64.105
"Sep 04, 2017",64.04
"Sep 01, 2017",64.025
"Aug 31, 2017",63.935
"Aug 30, 2017",63.99
"Aug 29, 2017",64.015
"Aug 28, 2017",63.905
"Aug 25, 2017",64.005
"Aug 24, 2017",64.045
"Aug 23, 2017",64.045
"Aug 22, 2017",64.072
"Aug 21, 2017",64.11
"Aug 18, 2017",64.095
"Aug 17, 2017",64.17
"Aug 16, 2017",64.17
"Aug 15, 2017",64.12
"Aug 14, 2017",64.09
"Aug 11, 2017",64.14
"Aug 10, 2017",64.095
"Aug 09, 2017",63.86
"Aug 08, 2017",63.692
"Aug 07, 2017",63.84
"Aug 04, 2017",63.675
"Aug 03, 2017",63.705
"Aug 02, 2017",63.635
"Aug 01, 2017",64.095
"Jul 31, 2017",64.2
"Jul 28, 2017",64.115
"Jul 27, 2017",64.125
"Jul 26, 2017",64.355
"Jul 25, 2017",64.385
"Jul 24, 2017",64.395
"Jul 21, 2017",64.385
"Jul 20, 2017",64.375
"Jul 19, 2017",64.27
"Jul 18, 2017",64.316
"Jul 17, 2017",64.345
"Jul 14, 2017",64.424
"Jul 13, 2017",64.46
"Jul 12, 2017",64.475
"Jul 11, 2017",64.565
"Jul 10, 2017",64.475
"Jul 07, 2017",64.625
"Jul 06, 2017",64.725
"Jul 05, 2017",64.8
"Jul 04, 2017",64.79
"Jul 03, 2017",64.845
"Jun 30, 2017",64.62
"Jun 29, 2017",64.66
"Jun 28, 2017",64.525
"Jun 27, 2017",64.475
"Jun 26, 2017",64.435
"Jun 23, 2017",64.505
"Jun 22, 2017",64.605
"Jun 21, 2017",64.53
"Jun 20, 2017",64.54
"Jun 19, 2017",64.495
"Jun 16, 2017",64.465
"Jun 15, 2017",64.565
"Jun 14, 2017",64.235
"Jun 13, 2017",64.345
"Jun 12, 2017",64.48
"Jun 09, 2017",64.245
"Jun 08, 2017",64.25
"Jun 07, 2017",64.435
"Jun 06, 2017",64.43
"Jun 05, 2017",64.35
"Jun 02, 2017",64.415
"Jun 01, 2017",64.478
"May 31, 2017",64.51
"May 30, 2017",64.635
"May 29, 2017",64.54
"May 26, 2017",64.51
"May 25, 2017",64.555
"May 24, 2017",64.77
"May 23, 2017",64.895
"May 22, 2017",64.51
"May 19, 2017",64.565
"May 18, 2017",64.88
"May 17, 2017",64.13
"May 16, 2017",64.045
"May 15, 2017",64.065
"May 12, 2017",64.243
"May 11, 2017",64.405
"May 10, 2017",64.615
"May 09, 2017",64.68
"May 08, 2017",64.36
"May 05, 2017",64.315
"May 04, 2017",64.215
"May 03, 2017",64.165
"May 02, 2017",64.165
"May 01, 2017",64.255
"Apr 28, 2017",64.29
"Apr 27, 2017",64.115
"Apr 26, 2017",64.13
"Apr 25, 2017",64.33
"Apr 24, 2017",64.49
"Apr 21, 2017",64.65
"Apr 20, 2017",64.62
"Apr 19, 2017",64.665
"Apr 18, 2017",64.605
"Apr 17, 2017",64.48
"Apr 14, 2017",64.48
"Apr 13, 2017",64.445
"Apr 12, 2017",64.69
"Apr 11, 2017",64.555
"Apr 10, 2017",64.605
"Apr 07, 2017",64.27
"Apr 06, 2017",64.606
"Apr 05, 2017",64.875
"Apr 04, 2017",65.08
"Apr 03, 2017",64.985
"Mar 31, 2017",64.86
"Mar 30, 2017",64.86
"Mar 29, 2017",64.875
"Mar 28, 2017",65.045
"Mar 27, 2017",64.995
"Mar 24, 2017",65.425
"Mar 23, 2017",65.455
"Mar 22, 2017",65.455
"Mar 21, 2017",65.345
"Mar 20, 2017",65.345
"Mar 17, 2017",65.475
"Mar 16, 2017",65.385
"Mar 15, 2017",65.63
"Mar 14, 2017",65.775
"Mar 13, 2017",66.18
"Mar 10, 2017",66.555
"Mar 09, 2017",66.69
"Mar 08, 2017",66.765
"Mar 07, 2017",66.625
"Mar 06, 2017",66.675
"Mar 03, 2017",66.78
"Mar 02, 2017",66.785
"Mar 01, 2017",66.865
"Feb 28, 2017",66.725
"Feb 27, 2017",66.7
"Feb 24, 2017",66.645
"Feb 23, 2017",66.69
"Feb 22, 2017",66.95
"Feb 21, 2017",66.985
"Feb 20, 2017",66.905
"Feb 17, 2017",67.08
"Feb 16, 2017",67.08
"Feb 15, 2017",66.875
"Feb 14, 2017",66.835
"Feb 13, 2017",66.975
"Feb 10, 2017",66.854
"Feb 09, 2017",66.765
"Feb 08, 2017",67.05
"Feb 07, 2017",67.35
"Feb 06, 2017",67.195
"Feb 03, 2017",67.184
"Feb 02, 2017",67.21
"Feb 01, 2017",67.415
"Jan 31, 2017",67.515
"Jan 30, 2017",67.829
"Jan 27, 2017",68.105
"Jan 26, 2017",68.176
"Jan 25, 2017",67.988
"Jan 24, 2017",68.138
"Jan 23, 2017",68.051
"Jan 20, 2017",68.075
"Jan 19, 2017",68.1
"Jan 18, 2017",68.22
"Jan 17, 2017",67.862
"Jan 16, 2017",68.103
"Jan 13, 2017",68.18
"Jan 12, 2017",68.141
"Jan 11, 2017",68.312
"Jan 10, 2017",68.327
"Jan 09, 2017",68.1
"Jan 06, 2017",68.115
"Jan 05, 2017",67.743
"Jan 04, 2017",67.886
"Jan 03, 2017",68.26
"Jan 02, 2017",68.145
"Dec 30, 2016",67.955
"Dec 29, 2016",67.935
"Dec 28, 2016",68.233
"Dec 27, 2016",67.978
"Dec 26, 2016",67.76
"Dec 25, 2016",67.841
"Dec 23, 2016",67.837
"Dec 22, 2016",67.848
"Dec 21, 2016",67.837
"Dec 20, 2016",67.917
"Dec 19, 2016",67.844
"Dec 18, 2016",67.845
"Dec 16, 2016",67.855
